mbti_profile,Title,Plot
Anton Chigurh,No Country for Old Men,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.
"Elijah Price ""Mr. Glass""",Unbreakable,A man learns something extraordinary about himself after a devastating accident.
Tom Ripley,The Talented Mr. Ripley,"In late 1950s New York, Tom Ripley, a young underachiever, is sent to Italy to retrieve Dickie Greenleaf, a rich and spoiled millionaire playboy. But when the errand fails, Ripley takes extreme measures."
Frances Halladay,Frances Ha,"A New York woman (who doesn't really have an apartment) apprentices for a dance company (though she's not really a dancer) and throws herself headlong into her dreams, even as the possibility of realizing them dwindles."
Sarah Sanderson,Hocus Pocus,"A curious youngster moves to Salem, where he struggles to fit in before awakening a trio of diabolical witches that were executed in the 17th century."
"Don ""Wardaddy"" Collier",Fury,"A grizzled tank commander makes tough decisions as he and his crew fight their way across Germany in April, 1945."
Juliet Ashton,The Guernsey Literary and Potato Peel Pie Society,"In the aftermath of World War II, a writer forms an unexpected bond with the residents of Guernsey Island when she decides to write a book about their experiences during the war."
Joe Black,Meet Joe Black,"Death, who takes the form of a young man, asks a media mogul to act as a guide to teach him about life on Earth, and in the process, he falls in love with his guide's daughter."
Hsu Tai-yu,Our Times,Love grows where it isn't expected in this endearing romantic comedy coming of age movie.
Juli Baker,Flipped,Two eighth-graders start to have feelings for each other despite being total opposites.
Dr. Stephen Maturin,Master and Commander: The Far Side of the World,"During the Napoleonic Wars, a brash British captain pushes his ship and crew to their limits in pursuit of a formidable French war vessel around South America."
Allison Jones,Single White Female,A woman advertising for a new roommate finds that something very strange is going on with the tenant who decides to move in.
Phil Connors,Groundhog Day,A self-centered Pittsburgh weatherman finds himself inexplicably trapped in a small town as he lives the same day over and over again.
Cassius Green,Sorry to Bother You,"In an alternate present-day version of Oakland, telemarketer Cassius Green discovers a magical key to professional success, propelling him into a universe of greed."
Buster Scruggs,The Ballad of Buster Scruggs,"Six tales of life and violence in the Old West, following a singing gunslinger, a bank robber, a traveling impresario, an elderly prospector, a wagon train, and a perverse pair of bounty hunters."
Scotty Smalls,The Sandlot,"In the summer of 1962, a new kid in town is taken under the wing of a young baseball prodigy and his rowdy team, resulting in many adventures."
"Jeffrey ""The Dude"" Lebowski",The Big Lebowski,"Ultimate L.A. slacker Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for a rug ruined by debt collectors, enlisting his bowling buddies for help while trying to find the millionaire's miss..."
Marion Silver,Requiem for a Dream,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.
Alfred Ludlow,Legends of the Fall,"In the early 1900s, three brothers and their father living in the remote wilderness of Montana are affected by betrayal, history, love, nature, and war."
Lloyd Christmas,Dumb and Dumber,"After a woman leaves a briefcase at the airport terminal, a dumb limo driver and his dumber friend set out on a hilarious cross-country road trip to Aspen to return it."
David Swinton,A.I. Artificial Intelligence,"A highly advanced robotic boy longs to become ""real"" so that he can regain the love of his human mother."
Vincent,Collateral,A cab driver finds himself the hostage of an engaging contract killer as he makes his rounds from hit to hit during one night in Los Angeles.
Arthur Pendragon,King Arthur: Legend of the Sword,"Robbed of his birthright, Arthur comes up the hard way in the back alleys of the city. But once he pulls the sword from the stone, he is forced to acknowledge his true legacy - whether he likes it or not."
John Preston,Equilibrium,"In an oppressive future where all forms of feeling are illegal, a man in charge of enforcing the law rises to overthrow the system and state."
Leeloo,The Fifth Element,"In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr. Zorg at bay."
Adam,Only Lovers Left Alive,"A depressed musician reunites with his lover. Though their romance, which has already endured several centuries, is disrupted by the arrival of her uncontrollable younger sister."
Frank Slade,Scent of a Woman,"A prep school student needing money agrees to ""babysit"" a blind man, but the job is not at all what he anticipated."
Robin of Locksley,Robin Hood: Prince of Thieves,Robin Hood decides to fight back as an outlaw when faced with the tyranny of the Sheriff of Nottingham.
Mattie Ross,True Grit,A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer.
PK,PK,An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religion on its people.
Alita,Alita: Battle Angel,"A deactivated cyborg's revived, but can't remember anything of her past and goes on a quest to find out who she is."
Dave Skylark,The Interview,"Dave Skylark and his producer Aaron Rapaport run the celebrity tabloid show ""Skylark Tonight"". When they land an interview with a surprise fan, North Korean dictator Jong-Un Kim, they are recruited by the CIA to assassinate him."
"Samantha ""Sam"" Montgomery",A Cinderella Story,"Routinely exploited by her wicked stepmother, the downtrodden Samantha Montgomery is excited about the prospect of meeting her Internet beau at the school's Halloween dance."
Cinderella,Into the Woods,A witch tasks a childless baker and his wife with procuring magical items from classic fairy tales to reverse the curse put on their family tree.
Aurora Lane,Passengers,A malfunction in a sleeping pod on a spacecraft traveling to a distant colony planet wakes one passenger 90 years early.
Samara Morgan,The Ring,A journalist must investigate a mysterious videotape which seems to cause the death of anyone one week to the day after they view it.
Randal Graves,Clerks,"A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof."
Rachel Chu,Crazy Rich Asians,"This contemporary romantic comedy, based on a global bestseller, follows native New Yorker Rachel Chu to Singapore to meet her boyfriend's family."
Cruella de Vil,101 Dalmatians,"An evil high-fashion designer plots to steal Dalmatian puppies in order to make an extravagant fur coat, but instead creates an extravagant mess."
"""Hawkeye"" Nathaniel Poe",The Last of the Mohicans,Three trappers protect the daughters of a British Colonel in the midst of the French and Indian War.
King Leonidas of Sparta,300,King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.
Aaron Stampler,Primal Fear,"An altar boy is accused of murdering a priest, and the truth is buried several layers deep."
Medivh,Warcraft,"As an Orc horde invades the planet Azeroth using a magic portal, a few human heroes and dissenting Orcs must attempt to stop the true evil behind this war."
Stella Grant,Five Feet Apart,"A pair of teenagers with cystic fibrosis meet in a hospital and fall in love, though their disease means they must avoid close physical contact."
Mathilda Lando,Léon: The Professional,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade."
Sam 'Ace' Rothstein,Casino,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite."
Marquis Warren,The Hateful Eight,"In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters."
India Stoker,Stoker,"After India's father dies, her Uncle Charlie, whom she never knew existed, comes to live with her and her unstable mother. She comes to suspect this mysterious, charming man has ulterior motives and becomes increasingly infatuated..."
Dan Torrance,Doctor Sleep,"Years following the events of The Shining (1980), a now-adult Dan Torrance must protect a young girl with similar powers from a cult known as The True Knot, who prey on children with powers to remain immortal."
Margaret Tate,The Proposal,A pushy boss forces her young assistant to marry her in order to keep her visa status in the U.S. and avoid deportation to Canada.
Nadine Franklin,The Edge of Seventeen,"High-school life gets even more unbearable for Nadine when her best friend, Krista, starts dating her older brother."
Vassili Zaitsev,Enemy at the Gates,A Russian and a German sniper play a game of cat-and-mouse during the Battle of Stalingrad.
"Vincent Anton Freeman ""Jerome""",Gattaca,A genetically inferior man assumes the identity of a superior one in order to pursue his lifelong dream of space travel.
Donna Sheridan,Mamma Mia!,The story of a bride-to-be trying to find her real father told using hit songs by the popular 1970s group ABBA.
Lorenzo Anello,A Bronx Tale,A father becomes worried when a local gangster befriends his son in the Bronx in the 1960s.
Summer Quinn,Baywatch,"Devoted lifeguard Mitch Buchannon butts heads with a brash new recruit, as they uncover a criminal plot that threatens the future of the bay."
Lily Colson,Assassination Nation,"After a malicious data hack exposes the secrets of the perpetually American town of Salem, chaos descends and four girls must fight to survive, while coping with the hack themselves."
Cole Sear,The Sixth Sense,"A frightened, withdrawn Philadelphia boy who communicates with spirits seeks the help of a disheartened child psychologist."
Adelaide Wilson,Us,A family's serene beach vacation turns to chaos when their doppelgängers appear and begin to terrorize them.
Colonel McCullough,War for the Planet of the Apes,"After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind."
Ace Ventura,Ace Ventura: Pet Detective,A goofy detective specializing in animals goes in search of the missing mascot of the Miami Dolphins.
Col. George Taylor,Planet of the Apes,"In 2029, an Air Force astronaut crash-lands on a mysterious planet where evolved, talking apes dominate a race of primitive humans."
Louis Creed,Pet Sematary,"Dr. Louis Creed and his wife, Rachel, relocate from Boston to rural Maine with their two young children. The couple soon discover a mysterious burial ground hidden deep in the woods near their new home."
Nemo Nobody,Mr. Nobody,"A boy stands on a station platform as a train is about to leave. Should he go with his mother or stay with his father? Infinite possibilities arise from this decision. As long as he doesn't choose, anything is possible."
Ray,Mid90s,"Follows Stevie, a thirteen-year-old in 1990s-era Los Angeles who spends his summer navigating between his troubled home life and a group of new friends that he meets at a Motor Avenue skate shop."
Johnny,The Room,"Johnny is a successful bank executive who lives quietly in a San Francisco townhouse with his fiancée, Lisa. One day, putting aside any scruple, she seduces Johnny's best friend, Mark. From there, nothing will be the same again."
Frank,Frank,"Jon, a young wanna-be musician, discovers he's bitten off more than he can chew when he joins an eccentric pop band led by the mysterious and enigmatic Frank."
Elizabeth Masterson,Just Like Heaven,A lonely landscape architect falls for the spirit of the beautiful woman who used to live in his new apartment.
Oscar Diggs,Oz the Great and Powerful,A small-time magician is swept away to an enchanted land and is forced into a power struggle between three witches.
Leslie Burke,Bridge to Terabithia,A preteen's life turns upside down when he befriends the new girl in school and they imagine a whole new fantasy world to escape reality.
Belle,Beauty and the Beast,"A selfish Prince is cursed to become a monster for the rest of his life, unless he learns to fall in love with a beautiful young woman he keeps prisoner."
Hugh Glass,The Revenant,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.
Caden Cotard,"Synecdoche, New York","A theatre director struggles with his work, and the women in his life, as he creates a life-size replica of New York City inside a warehouse as part of his new play."
Aubrey Miller,The First Time,A shy senior and a down-to-earth junior fall in love over one weekend.
Otis B. Driftwood,House of 1000 Corpses,Two young couples traveling across the backwoods of Texas searching for urban legends of murder end up as prisoners of a bizarre and sadistic backwater family of serial killers.
Buddy,Elf,"Raised as an over-sized elf, a human travels from the North Pole to NYC to meet his biological father who doesn't know he exists and is in desperate need of some Christmas spirit."
Alonzo Harris,Training Day,A rookie cop spends his first day as a Los Angeles narcotics officer with a rogue detective who isn't what he appears to be.
Speed Racer,Speed Racer,Young driver Speed Racer aspires to be champion of the racing world with the help of his family and his high-tech Mach 5 automobile.
Lucy (post drug),Lucy,"A woman, accidentally caught in a dark deal, turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic."
Nomi Malone,Showgirls,"Nomi, a young drifter, arrives in Las Vegas to become a dancer and soon sets about clawing and pushing her way to become the top of the Vegas showgirls."
Cristal Connors,Showgirls,"Nomi, a young drifter, arrives in Las Vegas to become a dancer and soon sets about clawing and pushing her way to become the top of the Vegas showgirls."
Babe,Babe,"Babe, a pig raised by sheepdogs on a rural English farm, learns to herd sheep with a little help from Farmer Hoggett."
Ted Stroman,There's Something About Mary,"A man gets a chance to meet up with his dream girl from high school, even though his date with her back then was a complete disaster."
Shere Khan,The Jungle Book,"After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther Bagheera and free-spirited bear Baloo."
Andy Stitzer,The 40-Year-Old Virgin,"Goaded by his buddies, a nerdy guy who's never ""done the deed"" only finds the pressure mounting when he meets a single mother."
Melvin Udall,As Good as It Gets,"A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery."
Annie Graham,Hereditary,A grieving family is haunted by tragic and disturbing occurrences.
Brennan Huff,Step Brothers,Two aimless middle-aged losers still living at home are forced against their will to become roommates when their parents marry.
God,Bruce Almighty,A guy who complains about God too often is given almighty powers to teach him how difficult it is to run the world.
Jackie Brown,Jackie Brown,"A flight attendant with a criminal past gets nabbed by the FBI for smuggling. Under pressure to become an informant against the drug dealer she works for, she must find a way to secure her future without getting killed."
Ricky Bobby,Talladega Nights: The Ballad of Ricky Bobby,"Number one NASCAR driver Ricky Bobby stays atop the heap thanks to a pact with his best friend and teammate, Cal Naughton, Jr. But when a French Formula One driver, makes his way up the ladder, Ricky Bobby's talent and devotion ar..."
Jasmine,Aladdin,A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.
"Ronald Reagan ""Bodhi""",Point Break,An F.B.I. Agent goes undercover to catch a gang of surfers who may be bank robbers.
Jake Tyler,Never Back Down,A frustrated and conflicted teenager arrives at a new high school to discover an underground fight club and meet a classmate who begins to coerce him into fighting.
Lux Lisbon,The Virgin Suicides,"A group of male friends become obsessed with five mysterious sisters who are sheltered by their strict, religious parents in suburban Detroit in the mid 1970s."
Joe Lamb,Super 8,"During the summer of 1979, a group of friends witness a train crash and investigate subsequent unexplained events in their small town."
Erika Kohut,The Piano Teacher,A young man romantically pursues his masochistic piano teacher.
Jack,The House That Jack Built,"The story follows Jack, a highly intelligent serial killer, over the course of twelve years, and depicts the murders that really develop his inner madman."
Shuuya Watanabe,Confessions,A psychological thriller of a grieving mother turned cold-blooded avenger with a twisty master plan to pay back those who were responsible for her daughter's death.
Wayne Campbell,Wayne's World,Two slacker friends try to promote their public-access cable show.
Garth Algar,Wayne's World,Two slacker friends try to promote their public-access cable show.
Billy Costigan,The Departed,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
CPL Timothy Upham,Saving Private Ryan,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
Jay Gatsby,The Great Gatsby,"A writer and wall street trader, Nick, finds himself drawn to the past and lifestyle of his millionaire neighbor, Jay Gatsby."
Helen Shivers,I Know What You Did Last Summer,Four young friends bound by a tragic accident are reunited when they find themselves being stalked by a hook-wielding maniac in their small seaside town.
Curtis Everett,Snowpiercer,"In a future where a failed climate change experiment has killed all life except for the survivors who boarded the Snowpiercer (a train that travels around the globe), a new class system emerges."
Mason Evans Jr.,Boyhood,"The life of Mason, from early childhood to his arrival at college."
Mária,On Body and Soul,"When slaughterhouse workers Endre and Mária discover they share the same dreams, where they meet in a forest as deer and fall in love, they decide to make their dreams come true, but it's difficult in real life."
Amy Antsler,Booksmart,"On the eve of their high-school graduation, two academic superstars and best friends realize they should have worked less and played more. Determined not to fall short of their peers, the girls try to cram four years of fun into o..."
Dwayne Hoover,Little Miss Sunshine,A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.
Carmen Cortéz,Spy Kids,"Using high tech gadgets, two kids have to save their reactivated OSS top spy parents when they're taken by an evil, high tech enemy."
Derek Vinyard,American History X,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.
Daughter,I Am Mother,"In the wake of humanity's extinction, a teenage girl is raised by a robot designed to repopulate the earth. But their unique bond is threatened when an inexplicable stranger arrives with alarming news."
Christian Wolff,The Accountant,"As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities, and the body count starts to rise."
Jess,Triangle,"Yacht passengers encounter mysterious weather conditions that force them to jump onto another ship, only to have the odd havoc increase."
Billy Madison,Billy Madison,"In order to inherit his fed up father's hotel empire, an immature and lazy man must repeat grades 1-12 all over again."
Ellie Staple,Glass,"Security guard David Dunn uses his supernatural abilities to track Kevin Wendell Crumb, a disturbed man who has twenty-four personalities."
Peter Gibbons,Office Space,Three company workers who hate their jobs decide to rebel against their greedy boss.
Alice,Closer,The relationships of two couples become complicated and deceitful when the man from one couple meets the woman of the other.
Rancho,3 Idiots,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots""."
Jen Yu,"Crouching Tiger, Hidden Dragon",A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.
Josh Templeton,Super Dark Times,"Teenagers Zach and Josh have been best friends their whole lives, but when a gruesome accident leads to a cover-up, the secret drives a wedge between them and propels them down a rabbit hole of escalating paranoia and violence."
John Hancock,Hancock,Hancock is a superhero whose ill-considered behavior regularly causes damage in the millions. He changes when the person he saves helps him improve his public image.
Clarence Worley,True Romance,"In Detroit, a lonely pop culture geek marries a call girl, steals cocaine from her pimp, and tries to sell it in Hollywood. Meanwhile, the owners of the cocaine, the Mob, track them down in an attempt to reclaim it."
"Mother ""Her""",Mother!,"A couple's relationship is tested when uninvited guests arrive at their home, disrupting their tranquil existence."
Viago,What We Do in the Shadows,"Viago, Deacon, and Vladislav are vampires who are struggling with the mundane aspects of modern life, like paying rent, keeping up with the chore wheel, trying to get into nightclubs, and overcoming flatmate conflicts."
Charlie Watson,Bumblebee,"On the run in the year 1987, Bumblebee finds refuge in a junkyard in a small California beach town. On the cusp of turning 18 and trying to find her place in the world, Charlie Watson discovers Bumblebee, battle-scarred and broken."
Jamie Sullivan,A Walk to Remember,"Two North Carolina teens, Landon Carter and Jamie Sullivan, are thrown together after Landon gets into trouble and is sentenced to perform community service."
John Rico,Starship Troopers,"Humans in a fascist, militaristic future wage war with giant alien bugs."
Evelyn Abbott,A Quiet Place,"In a post-apocalyptic world, a family is forced to live in silence while hiding from monsters with ultra-sensitive hearing."
Ted Crawford,Fracture,An attorney intending on climbing the career ladder toward success finds an unlikely opponent in a manipulative criminal he is trying to prosecute.
Slappy the Dummy,Goosebumps,"A teenager teams up with the daughter of young adult horror author R. L. Stine after the writer's imaginary demons are set free on the town of Madison, Delaware."
Derek Zoolander,Zoolander,"At the end of his career, a clueless fashion model is brainwashed to kill the Prime Minister of Malaysia."
Nicholas Van Orton,The Game,"After a wealthy San Francisco banker is given an opportunity to participate in a mysterious game, his life is turned upside down as he begins to question if it might really be a concealed conspiracy to destroy him."
Ramona,Ramona and Beezus,"An adventurous young girl uses her imagination to escape her reality, that is quickly spinning out of reach."
Vee,Nerve,"A high school senior finds herself immersed in an online game of truth or dare, where her every move starts to become manipulated by an anonymous community of ""watchers."""
Gilbert Grape,What's Eating Gilbert Grape,A young man in a small Midwestern town struggles to care for his mentally-disabled younger brother and morbidly obese mother while attempting to pursue his own happiness.
"Alejandro Murrieta ""Zorro""",The Mask of Zorro,"A young thief seeking revenge for his brother's death is trained by the once-great, aging Zorro, who is pursuing his own vengeance."
Jack,Room,"Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time."
Annie James,The Parent Trap,"Identical twins Annie and Hallie, separated at birth and each raised by one of their biological parents, later discover each other for the first time at summer camp and make a plan to bring their wayward parents back together."
"Roger ""Verbal"" Kint",The Usual Suspects,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup."
Dr. Buddy Rydell,Anger Management,"Dave Buznik is a businessman who is wrongly sentenced to an anger management program, where he meets an aggressive instructor."
David McCall,Fear,"When Nicole met David; handsome, charming, affectionate, he was everything. It seemed perfect, but soon she sees that David has a darker side. And his adoration turns to obsession, their dream into a nightmare, and her love into f..."
Achilles,Troy,"An adaptation of Homer's great epic, the film follows the assault on Troy by the united Greek forces and chronicles the fates of the men involved."
Dani,Midsommar,A couple travels to Northern Europe to visit a rural hometown's fabled Swedish mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult.
Frank,Destination Wedding,"The story of two miserable and unpleasant wedding guests, Lindsay and Frank, who develop a mutual affection despite themselves."
Lelaina Pierce,Reality Bites,"A documentary filmmaker and her fellow Generation X graduates face life after college, looking for work and love in Houston."
Newland Archer,The Age of Innocence,"A tale of nineteenth-century New York high society in which a young lawyer falls in love with a woman separated from her husband, while he is engaged to the woman's cousin."
Ellen Olenska,The Age of Innocence,"A tale of nineteenth-century New York high society in which a young lawyer falls in love with a woman separated from her husband, while he is engaged to the woman's cousin."
"Conor ""Cosmo"" Lawlor",Sing Street,A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.
Catwoman,Catwoman,"A shy woman, endowed with the speed, reflexes, and senses of a cat, walks a thin line between criminal and hero, even as a detective doggedly pursues her, fascinated by both of her personas."
Tommy Conlon,Warrior,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother."
Carl Allen,Yes Man,"A man challenges himself to say ""yes"" to everything."
Murad Ahmed,Gully Boy,A coming-of-age story based on the lives of street rappers in Mumbai.
Earl Stone,The Mule,A ninety-year-old horticulturist and Korean War veteran turns drug mule for a Mexican cartel.
"William ""Will"" Munny",Unforgiven,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid."""
Davis,Demolition,"A successful investment banker struggles after losing his wife in a tragic car crash. With the help of a customer service rep and her young son, he starts to rebuild, beginning with the demolition of the life he once knew."
Simon,The Gift,"A married couple, Simon and Robyn, run into Gordo, an old classmate. Things take a turn when Gordo begins to drop in unannounced at their house and inundates them with mysterious gifts."
Danny Archer,Blood Diamond,"A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond."
"William ""Bill the Butcher"" Cutting",Gangs of New York,"In 1862, Amsterdam Vallon returns to the Five Points area of New York City seeking revenge against Bill the Butcher, his father's killer."
George Falconer,A Single Man,"An English professor, one year after the sudden death of his boyfriend, is unable to cope with his typical days in 1960s Los Angeles."
Enid Coleslaw,Ghost World,"With only the plan of moving in together after high school, two unusually devious friends seek direction in life. As a mere gag, they respond to a man's newspaper ad for a date, only to find it will greatly complicate their lives."
Scarlett Marlowe,"As Above, So Below","When a team of explorers ventures into the catacombs that lie beneath the streets of Paris, they uncover the dark secret that lies within this city of the dead."
Dorian Gray,Dorian Gray,"A corrupt young man somehow keeps his youthful beauty eternally, but a special painting gradually reveals his inner ugliness to all."
Sara Thomas,Serendipity,"A couple search for each other years after the night they first met, fell in love, and separated, convinced that one day they'd end up together."
Marie,The Road Within,A young man with Tourette's Syndrome embarks on a road trip with his recently-deceased mother's ashes.
Midori Kobayashi,Norwegian Wood,"Toru recalls his life in the 1960s, when his friend Kizuki killed himself and he grew close to Naoko, Kizuki's girlfriend, and another woman, the outgoing, lively Midori."
Maxwell Smart,Get Smart,"Maxwell Smart, a highly intellectual but bumbling spy working for the CONTROL agency, is tasked with preventing a terrorist attack from rival spy agency KAOS."
James Carter,Rush Hour,"A loyal and dedicated Hong Kong Inspector teams up with a reckless and loudmouthed L.A.P.D. detective to rescue the Chinese Consul's kidnapped daughter, while trying to arrest a dangerous crime lord along the way."
Candyman/Daniel Robitaille,Candyman,"The Candyman, a murderous soul with a hook for a hand, is accidentally summoned to reality by a skeptic grad student researching the monster's myth."
Suzy Bishop,Moonrise Kingdom,"A pair of young lovers flee their New England town, which causes a local search party to fan out to find them."
Eddie,"Lock, Stock and Two Smoking Barrels","Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds."
Anna Coleman,Freaky Friday,"An overworked mother and her daughter do not get along. When they switch bodies, each is forced to adapt to the other's life for one freaky Friday."
"Eleanor ""Ellie"" Arroway",Contact,"Dr. Ellie Arroway, after years of searching, finds conclusive radio proof of extraterrestrial intelligence, sending plans for a mysterious machine."
Annie Walker,Bridesmaids,"Competition between the maid of honor and a bridesmaid, over who is the bride's best friend, threatens to upend the life of an out-of-work pastry chef."
Eron Keen,Upgrade,"Set in the near-future, technology controls nearly all aspects of life. But when the world of Grey, a self-labeled technophobe, is turned upside down, his only hope for revenge is an experimental computer chip implant."
Cool Cat,Cool Cat Saves the Kids,"In Hollywood, California, Cool Cat, alongside his human father Daddy Derek, embarks on his most challenging journey yet: saving the kids from Butch the Bully. Can he do it?"
Yuri Orlov,Lord of War,An arms dealer confronts the morality of his work as he is being chased by an INTERPOL Agent.
Josephine Chesterfield,The Hustle,Two con women - one low rent and the other high class - team up to take down the men who have wronged them.
Anna Poliatova,Anna,Beneath Anna Poliatova's striking beauty lies a secret that will unleash her indelible strength and skill to become one of the world's most feared government assassins.
Cameron Post,The Miseducation of Cameron Post,"In 1993, a teenage girl is forced into a gay conversion therapy center by her conservative guardians."
Paul Safranek,Downsizing,"A social satire in which a man realizes he would have a better life if he were to shrink himself to five inches tall, allowing him to live in wealth and splendor."
Jay,Okja,"A young girl risks everything to prevent a powerful, multinational company from kidnapping her best friend - a fascinating beast named Okja."
Ray,In Bruges,"Guilt-stricken after a job gone wrong, hitman Ray and his partner await orders from their ruthless boss in Bruges, Belgium, the last place in the world Ray wants to be."
Barnabas Collins,Dark Shadows,"An imprisoned vampire, Barnabas Collins, is set free and returns to his ancestral home, where his dysfunctional descendants are in need of his protection."
Ben Campbell,21,"""21"" is the fact-based story about six MIT students who were trained to become experts in card counting and subsequently took Vegas casinos for millions in winnings."
XXXX,Layer Cake,A successful cocaine dealer gets two tough assignments from his boss on the eve of his planned early retirement.
Mitsuko Souma,Battle Royale,"In the future, the Japanese government captures a class of ninth-grade students and forces them to kill each other under the revolutionary ""Battle Royale"" act."
Ulysses Everett McGill,"O Brother, Where Art Thou?","In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them."
Holly Berenson,Life as We Know It,Two single adults become caregivers to an orphaned girl when their mutual best friends die in an accident.
Dave Boyle,Mystic River,The lives of three men who were childhood friends are shattered when one of them has a family tragedy.
Richard B. Riddick,The Chronicles of Riddick,"The wanted criminal Richard Bruno Riddick (Vin Diesel) arrives on a planet called Helion Prime and finds himself up against an invading empire called the Necromongers, an army that plans to convert or kill all humans in the universe."
Frankie Dunn,Million Dollar Baby,A determined woman works with a hardened boxing trainer to become a professional.
Edward Bloom,Big Fish,A frustrated son tries to determine the fact from fiction in his dying father's life.
Pi Patel,Life of Pi,"A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger."
Jamal Malik,Slumdog Millionaire,"A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?""."
Daniel Hillard,Mrs. Doubtfire,"After a bitter divorce, an actor disguises himself as a female housekeeper to spend time with his children held in custody by his former wife."
Peter Shepherd,Jumanji,"When two kids find and play a magical board game, they release a man trapped in it for decades - and a host of dangers that can only be stopped by finishing the game."
"Dolores Haze ""Lolita""",Lolita,"An English professor falls for a minor, and has to face the consequences of his actions."
Katherine Watson,Mona Lisa Smile,A free-thinking art professor teaches conservative 1950s Wellesley girls to question their traditional social roles.
"Benjamin Barker ""Sweeney Todd""",Sweeney Todd: The Demon Barber of Fleet Street,"The legendary tale of a barber who returns from wrongful imprisonment to 1840s London, bent on revenge for the rape and death of his wife, and resumes his trade while forming a sinister partnership with his fellow tenant, Mrs. Lov..."
Griffin,Jumper,A teenager with teleportation abilities suddenly finds himself in the middle of an ancient war between those like him and their sworn annihilators.
Josh Faraday,The Magnificent Seven,Seven gunmen from a variety of backgrounds are brought together by a vengeful young widow to protect her town from the private army of a destructive industrialist.
The Cat in the Hat,The Cat in the Hat,Two bored children have their lives turned upside down when a talking cat comes to visit them.
Bill Harford,Eyes Wide Shut,"A Manhattan doctor embarks on a bizarre, night-long odyssey after his wife's admission of unfulfilled longing."
Audrey Stockman,The Spy Who Dumped Me,Best friends Audrey and Morgan unwittingly become entangled in an international conspiracy when one of them discovers that the boyfriend who dumped her was actually a spy.
Kate King,The Other Woman,"After discovering her boyfriend is married, Carly soon meets the wife he's been betraying. And when yet another love affair is discovered, all three women team up to plot revenge on the three-timing S.O.B."
